epoch,train_loss,val_loss,train_object_loss,val_object_loss,val_object_macro_f1,train_changeflag_loss,val_changeflag_loss,val_changeflag_f1
1,-44.254829963690426,-77.90918167954997,-44.559734536922704,-78.31211014797813,0.0,0.6098091346229437,0.8058563841408805,0.8333333333333334
2,-69.97122621717561,-82.40654131926988,-70.24341218462462,-82.64125407369514,0.0,0.5443716709831369,0.46942547198973206,0.8757333333333334
3,-71.26739016775849,-82.52891526018318,-71.41840657353855,-82.64826990428723,0.0,0.30203261093268374,0.238708894601778,0.9476678043230944
4,-71.2934407788991,-82.54883190676551,-71.39868185819329,-82.64826990428723,0.0,0.21048208943677946,0.19887554702826923,0.9532710280373832
5,-71.26036571459171,-82.55636940458422,-71.34859689197613,-82.64826990428723,0.0,0.17646303260875973,0.18380024974038334,0.9610091743119266
6,-71.16713515524629,-82.48214703082647,-71.24461595368476,-82.60881097693192,0.0,0.15496146473537833,0.25332753311254474,0.9392857142857143
7,-71.12296721962468,-82.44779100706945,-71.1864567129331,-82.55241335487642,0.0,0.1269791924320303,0.20924498715945256,0.958406561218512
8,-71.46015277470926,-82.55179761454723,-71.51410258768176,-82.64699288418419,0.0,0.10790001956512266,0.19039113512429284,0.9598163030998852
9,-71.33357465040548,-82.27132361160035,-71.37771484607073,-82.39300343864842,0.0,0.08828024843180049,0.24335932930964527,0.960887332165791
10,-71.17475767824587,-81.29927140202135,-71.21335640968933,-81.51146095951012,0.0,0.07719769440732982,0.4243775867252506,0.9194139194139194
11,-71.392170829918,-82.27231816025336,-71.42181046199435,-82.3959056662353,0.0,0.05927925826556726,0.2471748384128468,0.9618497109826589
